text,Financial_Problem,Other,Everyday_Decision_Making,Emotional_Turmoil,School,Family_Issues,Social_Relationships,Work,Health_Fatigue_Physical_Pain
i'm having a problem with a coworker at work,0,0,0,0,0,0,1,1,0
my husband owes paypal $250 dollars today and  don't know how he is going to pay it!,1,1,0,0,0,1,0,0,0
"You are feeling stressed, vulnerable and helpless.",0,0,0,1,0,0,0,0,0
just everyone against everything that i do,0,1,0,1,0,0,1,0,0
Kev and Shelly's dad was really sick,1,0,0,1,0,1,0,0,1
"i have a problem, and i need help.",0,1,0,0,0,0,0,0,1
i cant find a babysitter and i have to go to work.,0,0,1,0,0,1,0,1,0
Not being able to go outside,0,1,1,1,0,0,1,0,1
"However, customizing the Start Menu is now a big pain.",0,1,1,0,0,0,0,1,1
The Cover pandemic has been stressing me out,0,0,1,1,1,0,0,1,1
dealing with the death of my father,0,0,0,1,0,1,0,0,0
"My ankle's been bugging me, too.",0,0,0,0,0,0,0,0,1
hey! work is making me crazy.,0,0,0,1,0,0,1,1,0
another thing that i'm really worried abuot that i shouldn't even be thinking right now is about how my family in general is going to do.,0,0,0,1,0,1,0,0,0
"Fuck, not seeing their dad is bad for em.",0,1,0,1,0,1,0,0,0
i may have broken my toe.,0,1,0,0,0,0,0,0,1
i've had horrible tooth problems that require surgery and i do not have enough money to,1,0,0,0,0,0,0,0,1
My graduate school application have been stressing me out!,1,0,0,0,1,0,0,0,0
"I'm getting really frusterated with living at home, my family is driving me crazy.",0,0,0,1,0,1,1,0,0
I'm crying because I know this is going to hit my family hard when they've already been through so much.,0,0,0,1,0,1,1,0,0
dealing with my lawyer,0,1,0,1,0,1,1,0,0
"i need money, i'm so poor.",1,0,1,0,0,0,0,0,0
I'm worried about having to go to more school after Albion.,0,0,0,1,1,0,0,0,0
I suppose my biggest problem in my life at the moment is my sheer lack of proper Time Management.,0,1,1,0,0,0,0,0,0
My girlfriend has been bugging me. She's always anxious and it's stressing me out.,0,0,0,1,0,0,1,0,0
Top tha toff with being in severe pain.,0,0,0,0,0,0,0,0,1
"i've been trying to get enough money to buy a house, it's very difficult.",1,1,0,0,0,0,0,0,0
I have to go to school today to have a meeting with my History Project Group.,0,1,0,0,1,0,0,0,0
me and my wife lost our jobs,1,0,0,0,0,1,1,1,0
James I guess is trying to be a good friend but not doing a good job and is saying I will find from Gera but she isn't on.,0,1,0,1,0,0,1,0,0
my son will not listen today.,0,0,0,0,0,1,0,0,0
i know my dad is depressed because of the divorce and his job and the rest of his siblings aren't all that mentally stable either.,0,0,0,1,0,1,0,0,0
"There's always some reason to feel not good enough, and it's hard at the end of the day.",0,1,0,1,0,0,0,0,1
"was pretty frustrated right now, so I thought I'd bring it up to someone/something.",0,0,0,1,0,0,0,0,0
The economy and the recent events about the corona virus,1,1,1,1,0,0,0,0,0
"It limits you to practical matters of the day, filling your life with detailed routine. hard work, and monotony.",0,1,0,0,0,0,0,1,0
hi friend. im recently some problems at house so i had a stressful,0,0,0,0,0,1,1,0,0
"I was frustrated with school, it was killin me.",0,0,0,0,1,0,0,0,0
Seeing them talk about the house and where things would go made my day and reminded me why I am killing myself with this schedule this week.,0,1,1,0,0,1,1,1,0
i've been stressing out about my money situation,1,0,0,0,0,0,1,0,0
work has been stressful,0,0,1,0,0,0,0,1,0
not getting into grad school.,0,0,0,0,1,0,0,0,0
deadlines for all my courses,0,0,0,0,1,0,0,0,0
It's so hard with school and stuff.,0,1,1,0,1,0,0,0,0
i'm not getting along with my husband.,0,0,0,1,0,1,1,0,0
"Last night, Gerry and I had a dispute, I think it was overreacted but I still feel bad for hurting his feelings.",0,0,0,1,0,1,1,0,0
Covid-19 pandemic has been really stressful,0,1,0,1,0,0,1,0,1
trying to get this work from home thing going and not going as quickly. .,0,1,0,0,0,0,0,1,0
"Our stove is unuseable, so I don't know what to have for dinner.",0,1,1,0,0,1,0,0,0
The financial part of it all is crappy because I am basically getting nothing for my old car.,1,0,1,0,0,0,0,0,0
i have been stressing out because of the recent math test. i don't think i did too well.,0,0,1,0,1,0,0,0,0
The Coronavirus is stressing me out! The kids have lost their minds.,1,0,0,0,0,1,1,0,1
"Besides we are moving that weekend and I am going to be flat broke from paying two months rent and frankly, I don't want to drive to AR.",1,0,1,0,0,0,0,0,0
i am good,0,1,0,0,0,0,0,0,0
The swelling is pushing against my ill defined sphincter and making me tres uncomfortable.,0,0,0,1,0,0,0,0,1
I am nervous for tomorrow's exam because it is hard to study for an English exam.,0,0,0,0,1,0,0,0,0
omg... what isnt.,0,1,1,1,0,0,1,0,0
This COVID-19 is stressing me because of the amount of people who are infected.,0,1,0,1,0,0,1,0,1
my husband got laid off from his job.,1,0,0,1,0,1,0,1,0
I lost my job because of the Coronavirus pandemic.,1,0,0,0,0,0,0,1,1
my brother is in JAIL.,0,0,0,1,0,1,1,0,0
i have been stressing financially,1,0,0,0,0,0,0,0,0
"I need to get to work, so I have something to focus on when schoolwork crushes me down.",0,1,0,0,1,0,0,1,0
My grandma went to see a doctor this week because she's been having a lot of pain and swelling in her lower legs lately.,0,0,0,0,0,1,1,0,1
Seriously considering moving in with my friend coz the house situation is getting rather stressful.,0,0,1,1,0,1,1,0,0
Mostly work and money issues.,1,0,0,1,0,0,0,1,0
almost. are you getting tired yet of my anxious posts about leaving for school? too bad.,0,0,0,1,1,0,0,0,0
i have this ever growing pity for people who are in relationships that ruin their friendships.,0,1,0,1,0,0,1,0,0
"No more, ""Anna, I need some help with this,"" or, ""Anna, I'm having trouble with this situation."" I need that. I need someone to need me.",0,1,0,1,0,0,1,0,0
"i can't take the way i feel everyday... about school, about mom and dad, about hurting myself, about letting go.",0,0,0,1,1,1,0,0,0
By the time I was ready to go into work I was feeling pretty shitty.,0,0,0,1,0,0,0,1,1
Wow!! Today was so crazy you would not believe.,0,1,1,1,0,0,0,0,0
mom is still mad for some reason.. haven't talk to my friends in awhile.. i have to work.,0,0,0,0,0,1,1,1,0
My sleep paralysis has become especially annoying and painful lately.,0,0,0,1,0,0,0,0,1
"It is only natural for him to feel tired coz NS life is so tough, and to make things worse, he is sick.",0,1,1,1,0,0,0,0,1
"My husband! Ugh, he won't stop playing video games.",0,1,0,0,0,1,1,0,0
my dad needs surgery next week,1,1,0,1,0,1,0,0,1
my financial situation has been very stressful,1,0,0,0,0,0,0,0,0
can't seem to get ahead financially.  every time i catch up something breaks,1,0,0,0,0,0,0,0,0
my work situation,0,1,0,0,0,0,0,1,0
damn my lack of money.,1,0,0,0,0,0,0,0,0
i was in stressful event because my team leader blamed on me for unwanted issues,0,0,0,0,0,0,1,1,0
everyone is getting promoted at work except me.,0,0,0,1,0,0,1,1,0
I think the holidays are just a stressful time in general.,1,1,1,0,0,1,0,0,0
"Mostly just school, and how much work left to do.",0,0,0,0,1,0,0,1,0
Worried about not being able to find a job after college,1,0,0,1,0,0,1,1,0
YOSHIKI's primary physician is quoted as saying he will need around a week to recover from the surgery and at least another month of rehabilitation.,0,1,1,1,0,0,0,0,1
i am having difficulty finding motivation to study,0,0,0,1,1,0,0,0,0
"My family is going to Virgina for thanksgiving, and I cant go because I have to fucking work! Sooo..",0,0,0,1,0,1,0,1,0
I've become a bit a of a bitch since I've moved up to school.,0,1,0,0,1,0,1,0,0
I am supa dupa tired though so I am off to bed for the night!,0,1,0,0,0,0,0,0,1
i've been stressing over how to plan a dinner party,0,1,1,0,0,1,1,0,0
a lot of things have been bothering me and i dont know what to do anymore..oh well this is life.,0,1,1,1,0,0,0,0,0
I'm greatly concerned about defunding Police.,0,1,0,1,0,0,1,0,0
a recent situation that has been stressful to me is with my work.,0,0,0,1,0,0,0,1,0
trying to mesh two households: mine and my senior mom who we will be taking care of.,0,0,0,0,0,1,0,0,0
"If you are the type that is constantly upset by your interactions with others, then you might have a problem.",0,1,1,1,0,0,1,0,0
some thoughts from today (wed): 1) how difficult it is for me to work around other people's schedules.,0,1,0,0,0,0,0,1,0
Saddest Memory? seeing my grandmother crying when my great grandma passed away Most Embarassing Memory?,0,1,0,1,0,1,1,0,0
"So, I have decided that the reason for my bad moods is because I'm always tired.",0,0,0,1,0,0,0,0,1
i went to work with this lady that told me she would pay me and she hasnt even done so,1,0,0,0,0,0,1,1,0
My daughter's MS diagnosis.,0,0,0,1,0,1,0,0,1
"A close friend of his passed away the other day, in a car accident.",0,0,0,1,0,0,1,0,0
my stomach hurts,0,0,0,0,0,0,0,0,1
I feel really bad when I take time off from work.,0,1,0,1,0,0,0,1,0
i have no clue what to fix for dinner.,1,1,1,0,0,0,0,0,0
"i'm sick of school, and how stressful this last week is going to be.",1,0,0,0,1,0,0,0,0
"i am so ready to buy a home, but i am still a broke college student.",1,1,1,0,1,1,0,0,0
my work is very stressful in office. do not concentration with any other work.,0,1,0,0,0,0,0,1,1
"Too intelligent to lay around the house all day, they become neurotic if left alone for long periods.",0,1,0,1,0,1,0,0,0
worrying about my son finding a job,0,0,0,0,0,1,0,1,0
The COVID-19 pandemic and not working because of it.,1,1,0,1,0,0,0,1,1
I've been stressing about finances.,1,0,0,0,0,0,1,0,0
i'm trying to plan my sister's wedding,1,0,0,0,0,1,1,0,0
"Latly i've just been feeling sick, and like sad and all that good stuff.",0,0,0,1,0,0,0,0,1
i have a lot work pressure in recent days. need your advice to relax,0,1,0,1,0,0,1,1,0
issues we have at work about data,0,0,0,0,0,0,0,1,0
i haven't been able to take some vacations,1,0,1,0,0,1,0,1,0
"given that i need to go home to fix my car get clothes and what not, i dont like being called last minute to be used as the driver.",0,1,1,0,0,0,1,0,0
"It's not good for him, screws up his body clock, then he can't concentrate for school.. lol..",0,1,0,0,1,0,1,0,1
"I have to finish an assignment this weekend, and on Tuesday and half of Wednesday I have class.",0,1,1,1,1,0,0,1,0
It's just that I stressed out if I couldn't fix them.,0,1,1,1,0,0,0,0,0
Work has been so stressful because my boss expects too much.,0,0,0,0,0,0,0,1,0
"god, i already feel like i've been through a divorce.",1,0,0,1,0,1,1,0,0
sex,0,1,0,1,0,0,1,0,0
I've been busy doing school work.,0,1,0,0,1,0,0,0,0
"I've been much too distracted by work lately, using up too much energy being annoyed and worried.",0,0,0,1,0,0,0,1,0
i am having problems at my apartment because my landlond won't fix anything.,1,1,1,0,0,0,1,0,0
"Ive been ""exaggerating"" things and been really insecure.",0,1,1,1,0,0,0,0,0
i still haven't been able to overcome the stress of losing the relationship,0,0,0,1,0,0,1,0,0
my building i was living in burned down...,0,1,1,1,0,0,0,0,1
They're so dysfunctional that their family counselor decides she can't deal with them.,0,0,0,0,0,1,0,0,0
the situation with iran had me stressed out the other day.,0,1,0,1,0,0,1,0,0
my boss is very demanding,0,0,0,1,0,0,1,1,0
we're all just so damn busy with work and with other things that it is so difficult to coincide schedules and get together for half an hour.,0,0,1,0,0,0,1,1,0
The list of things I need to do is rather overwhelming because I'm so tired right now and possibly getting sick.,0,0,1,1,0,0,0,0,1
I am extremely tired today I can not seem to stay awake. I need to eat some good food.,0,0,0,0,0,0,0,1,1
my garbage disposal just went on the fritz.,0,1,1,0,0,0,0,0,0
That sucks because i have no money.,1,0,0,1,0,0,0,0,0
Work has me so stressed you wouldn't believe! It's a nightmare.,0,0,0,1,0,0,0,1,0
i need to apply to school.,0,1,0,0,1,0,0,0,0
"All the first week of my trip I had been having searing headaches, and I thought it might be because of the time change and lack of sleep and everything.",0,0,1,0,0,0,0,0,1
work's been really hard. im not making enough,1,0,0,0,0,0,0,1,0
i'm supposed to be writing an SRA and then this weekend THE FIRST OF THE MASSIVE TERM PAPERS!,0,1,0,0,1,0,0,0,0
"I've been really busy, and overly stressed.",0,1,1,1,0,0,0,0,1
"soooooo for the last couple of days, i was trying to quit smoking.",0,1,1,0,0,0,0,0,1
Invariably of late it seems that being myself has caused problems and hurt feelings.,0,0,0,1,0,0,1,0,1
not having enough money to pay my bills.,1,0,0,0,0,0,0,0,0
"I have a Literature exam tomorrow, I haven't even read the book yet.",0,1,0,0,1,0,0,0,0
For some reason I've been really tired lately (Did I complain about this already?) and it's driving me nuts.,0,1,0,1,0,0,0,1,1
hoping to beat the crazy shoppers that go shopping on black friday by shopping online,1,1,1,0,0,0,0,0,0
why are you asking about this? is something wrong? this is a little weird.,0,1,0,0,0,0,0,0,0
"He's in constant pain, and can't even take enough pain medication to relieve it.",0,0,0,1,0,0,0,0,1
All this talk about cleaning my room is getting me tired already.,0,1,1,0,0,0,0,0,1
"My girlfriend broke up with me around 3 days ago, I can't handle how much pain she put me through.",0,0,0,1,0,0,1,0,0
Neighbors not sheltering in place,0,0,0,1,0,0,1,0,0
nothing much,0,1,0,0,0,0,0,0,0
My mother had asked me today to go help my uncle pack his stuff to move.,0,1,0,0,0,1,0,1,0
work and things at home,0,1,1,0,0,1,0,1,0
i'm worried about completeting all my tasks today,0,1,1,1,0,0,0,1,0
The entire Virginia Tech massacre deeply disturbed me.,0,1,1,1,0,0,0,0,0
i have a history test in like 2 hours.,0,0,0,0,1,0,0,0,0
i can't stand my work. they keep dumping on me i can't handle it!!!,0,0,0,0,0,0,0,1,1
my kids are not listening!,0,0,0,1,0,1,0,0,0
"i miss her a lot now that i dont see her very often, and it makes me kind of sad.",0,0,0,1,0,0,1,0,0
"girl i am at work , they are stressing me out over bread of the week.",0,0,0,1,0,0,0,1,0
The Coronavirus pandemic and what it's going to do to the Economy.,1,1,1,1,0,0,1,0,1
Everything is stressed in my life right now.,0,1,1,1,0,1,1,0,0
just school and homework in general,0,1,0,0,1,0,0,0,0
just dealing with managing work/home life balance and feeling guilty about it.,0,1,0,1,0,1,0,1,0
It's especially difficult when one works nights because I'm asleep during the day when things are open and chores can be done.,0,1,1,0,0,0,0,1,0
"I thought about adding potatoes, but I find they are difficult to get to a texture I find thoroughly cooked in pies, so I skipped 'em.",0,1,1,0,1,0,0,1,0
I'm also upset over not getting a day off.,0,0,0,1,0,0,0,1,0
"There was just so much going on and so many birthdays this weekend, plus I had to work early all weekend on top of it.",0,0,1,0,0,0,1,1,0
How utterly poor I am and how debt is ruining my life 2.,1,0,0,1,0,0,0,1,0
what do you mean?,0,1,1,0,0,0,0,0,0
I'm worried about my student having enough time to review before his exam.,0,1,0,0,1,0,0,1,0
I've been having a hard time getting enough sleep.,0,0,0,1,0,0,1,0,1
"Today I had to write a get well card to my grandpa, who's been diagnosed with cancer.",0,0,0,1,0,1,1,0,1
I am so worried about getting work done at work and I have all this other stuff that is.,0,1,1,1,0,1,0,1,0
"there is a lot going on in the news about iran, i pray that our troops are safe.",0,1,0,1,0,0,0,0,0
"This coronavirus is freaking me out, man.  I am very scared.",0,0,0,1,0,0,0,0,1
Working from home at this point in the year.,0,0,0,1,0,0,1,1,0
i always find myself having to limit myself at times from doing so. and,0,1,1,1,0,0,0,0,0
"I dunno, things are just changing lately- and it's as if me and my roommate did something wrong?",0,0,1,0,0,0,1,0,0
talk with u later,0,1,0,0,0,0,1,0,0
My mom just got diagnosed with breast cancer and that is kind of scary.,0,0,0,0,0,1,0,0,1
past few days my business is kind of slow. don't know what to do.need your advice.,1,0,0,0,0,0,0,1,0
"my stepduaghter is pregnant and she only told me, not her mom and dad!",0,0,0,0,0,1,1,0,0
I was pretty nervous about last night's chemistry exam.,0,0,0,0,1,0,0,0,0
"I came back very ill, and haven't really been back to work due to illness.",0,0,1,0,0,0,0,1,1
They're startin' to get annoyed with me... and now I gotta tell 'em I can't make next week... shit.,0,1,0,0,0,0,1,1,0
"when it comes round to my shift, I remember ""oh wait... I don't like working.""",0,1,1,0,0,0,0,1,0
My mom pisses me off.,0,0,0,1,0,1,0,0,0
my husband's hours have been cut at work,1,0,0,0,0,1,0,1,0
"i'm so stressed, getting ready for college is awful.",0,0,0,0,1,0,0,0,0
"i am currently in a lot of debt, and can't go to school.",1,0,0,0,1,0,0,0,0
No one is able or willing to give me a ride to get my shit.,0,1,1,1,0,0,1,0,0
I'm scared that someone is going to get tired of me and I'm going to lose the one person I talk to that isn't my family.,0,0,0,1,0,1,1,0,0
I need to practice every day to make sure I'm ready.,0,1,1,0,0,0,0,0,0
i had a thing happen at school that has been bugging me since break.,0,1,0,0,1,0,0,0,0
I'm so frustrated with my job right now.,0,0,0,0,0,0,0,1,0
I also just don't have enough money to pay someone to design a site for me.,1,1,0,0,0,0,0,0,0
the amount of things i own that are breakingdown,1,1,1,0,0,0,0,0,0
lately I've been getting really sad when I think about not being with mom.,0,0,0,1,0,1,0,0,0
I've been having a lot of schoolwork that I have to finish each day.,0,0,0,0,1,0,0,0,0
I've been planning on cleaning but then stupid stuff like getting my car fixed happens and I'm never there.,0,1,1,0,0,0,0,0,0
At the moment I am trying to finish my thesis.,0,0,0,0,1,0,0,0,0
having trouble choosing meals for the week=getting everyone to agree!,0,0,1,0,0,0,1,0,0
"It's going to be a fraught weekend as Dad does not enjoy seeing his relatives, particuarly his mother.",1,0,0,1,0,1,1,0,0
My baby is sick and I feel bad that he is less than comfortable due to his health.,0,0,0,1,0,1,0,0,1
We have been getting ready for the party on Saturday evening so there have been prep things to do to be ready to go play.,0,1,0,0,0,0,1,0,0
About our course mate who passed away in a tragic car accident.,0,0,0,1,1,0,1,0,1
since i have so many things wrong with my computer i cant even get to it.,0,1,1,0,0,0,0,0,0
just been having issues with money. finding it very hard to save for the life i like,1,0,0,0,0,0,0,0,0
work sucks! boring and not satisfying,0,0,0,0,0,0,0,1,0
i've been stressed about applying for my house loan.,1,1,0,0,0,1,0,0,0
I betrayed my best friend.,0,1,0,0,0,0,1,0,0
i'm worried about getting all of my work done on time for my job,0,0,0,0,0,0,0,1,0
my dog has cancer. she's doing okay now but i'm worried about it.,0,0,0,1,0,1,1,0,1
This whole COVID thing. I can't do anything right now!,0,1,1,0,0,0,1,0,1
worked has really gotten busy and over loaded me.,0,0,0,1,0,0,0,1,0
im felling pretty ok actually altho there seems to be lots of fault in the software that we're developing for research,0,1,0,0,1,0,0,1,0
maybe it was because i am still in lots of pain and couldn't get comfortable.,0,0,0,0,0,0,0,0,1
i'm directing a musical and my students have been giving me a lot of attitude.,0,0,0,1,1,0,1,1,0
"my mother still tries to tell me what to do, even though i'm an adult.",0,0,0,0,0,1,0,0,0
bad day at work.,0,1,0,0,0,0,0,1,0
It was major traffic jam and people were all unwilling and stuff.,0,1,0,0,0,0,1,1,0
I lost money on Tesla today.,1,0,0,0,0,0,0,0,0
i've been having alot of health issues stomach and woman.,0,1,0,1,0,0,1,0,1
well i must finish my essay.,0,1,0,0,1,0,0,1,0
I'm just kinda fed up with work at the moment so I don't know how much I'll be doing today.,0,0,0,0,0,0,0,1,0
school football stress headache,0,0,0,0,1,0,0,0,1
"As far as being alone goes, that has been bothering me the most lately.",0,0,0,1,0,0,1,0,0
I've been bad about updating.,0,1,1,0,1,0,0,1,0
My parents are being all wierd lately.,1,0,0,1,0,1,1,0,0
Been so busy with work and to tired when I get home to do anything.,0,0,0,0,0,0,0,1,1
"job searching, and i mean, the future in general",1,1,1,1,0,0,0,1,0
my boss is never around.,0,1,0,0,0,0,0,1,0
It's been hard raising you without your mother.,0,1,0,1,0,1,0,0,0
"I go into the school that day, and am told that I have RSP class, and that there has been a sub for the last 2 weeks!",0,1,0,0,1,0,0,0,0
"Crew is hard work and I've basically been sad lately, which is very tiring if you think about it.",0,0,1,1,0,0,0,1,1
I have been stressed about my classes. I think I will fail.,0,0,0,0,1,0,1,0,0
"school, work, friends",0,1,0,0,1,0,1,1,0
I am sick and tired of people giving me friend advise.,0,1,1,1,0,0,1,0,0
I already paid these exhorbitant costs at my current school and I'm reluctant to pay them again.,1,0,0,0,1,0,0,0,0
I am so stressed with COVID crapy and my romantic girlfriend's medical diagnosis .,0,0,0,1,0,0,1,0,1
how the coronavirus could damage the US economy,1,0,0,0,0,0,0,0,1
i'm just going through a lot.,1,0,1,1,0,0,1,1,0
i need to get working on my homework and i don't want to! and my grades suck! and midterms come out in like a week or two,0,0,0,0,1,0,0,1,0
"your mother and i are gunna have dinner cuz ill wilt away before you get home"" and you know what I HATE BEING HOME!!!",0,1,0,0,0,1,1,0,0
It's tough living with my parents again.,0,0,1,0,0,1,0,0,0
The feeling is so stressful.,0,1,0,1,0,0,0,0,0
"my mood can't fit into that tiny space. scared, nervous, anxious, pissed off, tired, defiant, worried, paranoid, weird, angry. . .",0,0,0,1,0,0,0,0,1
work has been super busy and i can't keep up,0,0,0,0,0,0,0,1,0
i have a really big test coming up next week.,0,1,0,1,1,0,0,0,0
ugh paying my medical bills for this month,1,0,0,1,0,0,0,0,1
"This ad implies that football is something challenging, difficult.",0,1,0,0,0,0,0,0,0
oh well i need more money.,1,1,0,0,0,0,0,0,0
i'm not stressed today,0,1,0,0,0,0,0,0,0
"hi, recently i've been stressed with my workload from school and work with little time.",0,0,0,0,1,0,0,1,0
"Morning sickness, weird food cravings, wired up emotions.",0,1,0,1,0,0,0,0,1
School is driving me nuts.,0,0,0,0,1,0,0,0,0
Needless to say I was very upset yesterday.,0,1,0,1,0,0,1,1,1
recently what has been stressing my out the most is finances. worrying about my income.,1,0,0,0,0,0,0,1,0
worried about my deadlines.,0,0,0,1,1,0,0,1,0
sure,0,1,0,0,0,0,0,0,0
the teacher didn' want to receive my homework because i was 3 minutes late to his class,1,0,0,0,1,0,1,0,1
my stress timing is very loss of many things.,0,1,1,1,0,0,0,0,0
i can't figure out what to cook for dinner tonight,0,1,1,0,0,0,0,0,0
It is so hard to handle all the problems and the situations through my life.,0,1,1,1,0,0,0,0,0
i'm just not myself lately. i have been a little down since the beginning of the week.,0,1,0,1,0,0,0,0,0
nothing to do at work,0,1,0,0,0,0,1,1,0
i cant help william,0,0,0,1,0,1,1,0,0
Work sucks and the new people are getting on my nerves... especally when they don't show up.,0,0,0,1,0,0,1,1,1
He made everyone in debt and he couldn't walk.,1,0,0,0,0,0,1,0,1
"i will have to do some studying up on wednesday, which is conveniently my day off.",0,1,0,0,1,0,0,0,0
"I know that sounds really horrible, but because I've been lacking in that, my health is suffering.",0,0,0,0,0,0,0,0,1
I have been so tired lately though with working and classes and illnesses!,0,0,0,0,1,0,0,1,1
I'm feeling very concerned about my school work right now.,0,0,0,0,1,0,0,0,0
I'm scared because I'm running low on money.,1,0,0,1,0,0,0,1,0
it has been a very stressful day for me,0,1,1,1,0,0,0,0,0
Trying to get my schedule right for next year has been hell.,0,0,0,0,1,0,0,0,0
HOUSE IS A MESS AND I AM TIRED,0,0,1,1,0,1,0,0,1
working from home with kids currently,0,1,0,0,0,1,0,1,0
the fact that i am tired all the time and they don't know why.,0,0,0,1,0,0,0,0,1
"Bah I don't like holidays, they have no friends or sex included.",0,1,0,0,0,0,0,0,0
Dealing with a psycho girlfriend and bitter boyfriend all at the same time is making my head explode.,0,0,0,1,0,1,1,0,0
Finances,1,0,0,0,0,0,0,0,0
thanks for asking- money has been really tight lately.,1,0,0,0,0,0,1,0,0
getting up early to go to church,0,1,1,0,0,1,0,0,0
i dont know if i should be letting my kid watch so much tv.,1,1,0,0,0,1,0,0,0
"First of all, I've been sick all week.",0,0,0,0,0,0,0,0,1
What a HUGE financial load off my back that is!,1,1,0,0,0,0,0,0,0
"my company is down-sizing and since i am just an assistant, i fear my job is in jeopardy",0,0,0,0,0,0,0,1,0
corona virus,0,1,1,1,0,0,1,0,1
"I am out of a job, a car and I am homeless. I don't know what I am going to do!",1,0,0,0,0,0,0,1,0
i don't know how i am gonna do dinner tonight.,1,1,1,0,0,0,1,0,0
There's just way too much on my mind these days and I'm having such a hard time adjusting to change and new situations.,0,1,1,0,0,0,0,0,1
"Today, I am sick and tired of being so sick and tired.",0,1,0,1,0,0,0,0,1
work has been stressing me out and family,0,0,0,1,0,1,0,1,0
i need a friend down here and i cant seem to find the friend im looking for.,0,0,0,1,0,0,1,0,0
I always feel guilty when my family starts to drive me crazy.,1,0,0,1,0,1,0,0,0
i have a colleague at work who lost her phone but she is suspecting me.,0,0,0,1,0,0,1,1,1
"just stressed about work and stuff, driving me nuts",0,0,0,1,0,0,0,1,0
"First of all, I hurt my feet when I was moving.",0,0,0,0,0,0,0,0,1
"I have exams tomorrow, and I haven't reviewed yet.",0,0,0,0,1,0,0,0,0
I'm tired and I don't feel good.,0,0,0,0,0,0,0,0,1
"The evening was bad though, getting calls from people saying they couldn't get in contact with Granddad.",0,1,0,1,0,1,1,0,0
having to wake up early for work tomorrow,0,1,1,0,0,0,0,1,0
i need to work to buy equipt.,1,1,0,1,0,0,1,1,0
i'm most stressed about my grandpa who is sick in the hospital.,0,0,0,1,0,1,1,0,1
"Not to start off sounding bitter, but work really sucks lately and I'm currently trying to find another job.",0,1,1,0,0,0,0,1,0
i got fight with my boss. reason is she is very dominate.,0,0,0,0,0,0,1,1,0
money - money is always stressful,1,0,0,0,0,0,0,0,0
things had started to get really stressful and i cant afford to live there anymore anyway.,1,0,1,1,0,0,1,0,1
"well, work has just been so frustrating lately. i just need to vent.",0,0,0,0,0,0,1,1,0
My car is not working due to a wiring error I made,0,1,1,0,0,0,0,0,0
recently I learned that my parents probably hate me because they didn't hire three six mafia to play for my birthday.,0,1,0,0,0,1,0,0,0
I spent a lot of today being pretty stressed out.,0,1,0,1,0,0,0,0,1
speech judges and correcting essays.,0,1,0,0,1,0,0,1,0
oh my goodness friend i want to make dinner! i i want a sadwhich but im out of bread!!!,0,1,1,0,0,0,0,0,0
what has stressed me out was trying to get a certain amount of turk done.,1,0,1,0,0,0,0,1,0
My parents contracting Covid-19,0,0,0,1,0,1,1,0,1
social stuff,0,1,0,0,0,0,1,0,0
"i am sorry busy right now. i will back you soon,",0,1,1,0,0,0,0,0,0
"My sleeping schedule is horrible, It has been months since I have had a steady sleeping routine.",0,0,1,0,0,0,0,0,1
I just paid off my car and can't really afford it.,1,1,0,0,0,0,0,0,0
People panic buying certain items so that others don't have them.,1,1,1,1,0,0,0,0,0
I got into a very irritable mood yesterday.,0,1,0,1,0,0,0,0,0
my uncle died and i'm worried my aunt will get super depressed without him,1,0,0,1,0,1,0,0,1
i have a feeling it must be stressed based because i've been pretty edgy lately. what the hell is wrong with me?,0,1,0,1,0,0,0,0,0
"I'm sad because Ashley has to graduate, and cant go.",1,1,0,1,0,0,1,0,0
now I won't get to walk with those friends.,0,1,0,0,1,0,1,0,1
It just reinforces how depressed and alone I really feel.,0,0,0,1,0,0,1,0,0
I really can't afford gifts this year.,1,0,0,0,0,0,0,0,0
I am having trouble lately motivating myself to do the things I have to.,0,1,1,1,0,0,0,0,1
I've had a lot of work than usual these past couple weeks at my job,0,0,0,0,0,0,1,1,0
recently i have just been having a hard time with my finances.,1,0,0,1,0,0,0,1,0
My Stress about people affected by COVID-19,0,0,0,1,0,0,1,0,1
just work related issues.,0,0,0,0,0,0,1,1,0
Overwhelmed stressed which makes me have no appetite and worried I unable to clear all the work loads.,0,0,0,1,0,0,0,1,0
i've been so stressed about school.,0,0,0,1,1,0,0,0,0
i'm so tired of being sick.,0,0,0,0,0,0,0,0,1
i have a lot of work to do and i am worried i won't get it all done,0,0,0,0,0,0,0,1,0
when i start to stress about work i eat.,0,0,1,0,0,0,0,1,1
someone shirking responsibilities at work,0,0,0,0,0,0,0,1,0
"Lets see i have been working like crazy, and this week it has been really stressful.",0,0,0,0,0,0,0,1,1
It was Christmas time and every year my parents would be really confused as to what to buy me because I felt selfish asking for anything.,0,1,0,1,0,1,0,0,0
"You must have a mental problem, you need help.",0,1,0,1,0,0,0,0,1
I AM SO TIRED OF BOYS HAVING GIRLFRIENDS AND ME GETTING JEALOUS OVER THEM.,0,0,0,1,0,0,1,0,0
I'm somewhat sad because some of my friends are leaving out of town or already out of town.,0,1,0,1,0,0,1,0,0
We had a big fight and I'm sick of caring about him when he doesn't even want to be my friend.,0,0,0,1,0,0,1,0,0
It's probably no wonder I feel so tired all the time.,0,1,0,0,0,0,0,0,1
